Sexo,Edad,Nacionalidad,Periodo,Total
Ambos sexos,Total,Total,2024,"24.424,6"
Ambos sexos,Total,Total,2023,"24.119,7"
Ambos sexos,Total,Total,2022,"23.626,7"
Ambos sexos,Total,Total,2021,"23.309,9"
Ambos sexos,Total,Total,2020,"22.733,3"
Ambos sexos,Total,Total,2019,"23.027,1"
Ambos sexos,Total,Total,2018,"22.806,8"
Ambos sexos,Total,Total,2017,"22.741,7"
Ambos sexos,Total,Total,2016,"22.822,7"
Ambos sexos,Total,Total,2015,22.922
Ambos sexos,Total,Total,2014,"22.954,6"
Ambos sexos,Total,Total,2013,"23.190,1"
Ambos sexos,Total,Total,2012,"23.443,7"
Ambos sexos,Total,Total,2011,"23.434,1"
Ambos sexos,Total,Total,2010,"23.364,6"
Ambos sexos,Total,Total,2009,"23.260,4"
Ambos sexos,Total,Total,2008,"23.065,6"
Ambos sexos,Total,Total,2007,"22.426,1"
Ambos sexos,Total,Total,2006,21.780
Ambos sexos,Total,Española,2024,"19.231,6"
Ambos sexos,Total,Española,2023,19.319
Ambos sexos,Total,Española,2022,"19.223,9"
Ambos sexos,Total,Española,2021,"19.196,9"
Ambos sexos,Total,Española,2020,"18.776,2"
Ambos sexos,Total,Española,2019,"19.224,2"
Ambos sexos,Total,Española,2018,"19.244,7"
Ambos sexos,Total,Española,2017,"19.333,8"
Ambos sexos,Total,Española,2016,"19.436,7"
Ambos sexos,Total,Española,2015,19.566
Ambos sexos,Total,Española,2014,"19.634,7"
Ambos sexos,Total,Española,2013,"19.687,6"
Ambos sexos,Total,Española,2012,"19.728,8"
Ambos sexos,Total,Española,2011,"19.626,9"
Ambos sexos,Total,Española,2010,"19.529,3"
Ambos sexos,Total,Española,2009,"19.427,9"
Ambos sexos,Total,Española,2008,"19.388,5"
Ambos sexos,Total,Española,2007,"19.118,2"
Ambos sexos,Total,Española,2006,"18.879,5"
Ambos sexos,Total,Doble nacionalidad,2024,"1.308,7"
Ambos sexos,Total,Doble nacionalidad,2023,1.125
Ambos sexos,Total,Doble nacionalidad,2022,"1.040,2"
Ambos sexos,Total,Doble nacionalidad,2021,"965,8"
Ambos sexos,Total,Doble nacionalidad,2020,"878,3"
Ambos sexos,Total,Doble nacionalidad,2019,"798,9"
Ambos sexos,Total,Doble nacionalidad,2018,"741,2"
Ambos sexos,Total,Doble nacionalidad,2017,678
Ambos sexos,Total,Doble nacionalidad,2016,"686,3"
Ambos sexos,Total,Doble nacionalidad,2015,"611,5"
Ambos sexos,Total,Doble nacionalidad,2014,"503,4"
Ambos sexos,Total,Doble nacionalidad,2013,"444,9"
Ambos sexos,Total,Doble nacionalidad,2012,426
Ambos sexos,Total,Doble nacionalidad,2011,"395,1"
Ambos sexos,Total,Doble nacionalidad,2010,"337,5"
Ambos sexos,Total,Doble nacionalidad,2009,"288,6"
Ambos sexos,Total,Doble nacionalidad,2008,240
Ambos sexos,Total,Doble nacionalidad,2007,"205,2"
Ambos sexos,Total,Doble nacionalidad,2006,"170,9"
Ambos sexos,Total,Extranjera: Total,2024,"3.884,2"
Ambos sexos,Total,Extranjera: Total,2023,"3.675,6"
Ambos sexos,Total,Extranjera: Total,2022,"3.362,6"
Ambos sexos,Total,Extranjera: Total,2021,"3.147,2"
Ambos sexos,Total,Extranjera: Total,2020,"3.078,8"
Ambos sexos,Total,Extranjera: Total,2019,3.004
Ambos sexos,Total,Extranjera: Total,2018,"2.820,8"
Ambos sexos,Total,Extranjera: Total,2017,"2.729,9"
Ambos sexos,Total,Extranjera: Total,2016,"2.699,8"
Ambos sexos,Total,Extranjera: Total,2015,"2.744,6"
Ambos sexos,Total,Extranjera: Total,2014,"2.816,5"
Ambos sexos,Total,Extranjera: Total,2013,"3.057,7"
Ambos sexos,Total,Extranjera: Total,2012,"3.288,9"
Ambos sexos,Total,Extranjera: Total,2011,"3.412,2"
Ambos sexos,Total,Extranjera: Total,2010,"3.497,8"
Ambos sexos,Total,Extranjera: Total,2009,3.544
Ambos sexos,Total,Extranjera: Total,2008,"3.437,1"
Ambos sexos,Total,Extranjera: Total,2007,"3.102,7"
Ambos sexos,Total,Extranjera: Total,2006,"2.729,5"
Ambos sexos,Total,Extranjera: Unión Europea,2024,"1.059,2"
Ambos sexos,Total,Extranjera: Unión Europea,2023,"997,1"
Ambos sexos,Total,Extranjera: Unión Europea,2022,"966,2"
Ambos sexos,Total,Extranjera: Unión Europea,2021,"919,9"
Ambos sexos,Total,Extranjera: Unión Europea,2020,"1.016,1"
Ambos sexos,Total,Extranjera: Unión Europea,2019,"1.114,5"
Ambos sexos,Total,Extranjera: Unión Europea,2018,"1.041,5"
Ambos sexos,Total,Extranjera: Unión Europea,2017,"1.018,4"
Ambos sexos,Total,Extranjera: Unión Europea,2016,"1.005,7"
Ambos sexos,Total,Extranjera: Unión Europea,2015,"989,1"
Ambos sexos,Total,Extranjera: Unión Europea,2014,"1.045,6"
Ambos sexos,Total,Extranjera: Unión Europea,2013,"1.038,3"
Ambos sexos,Total,Extranjera: Unión Europea,2012,1.055
Ambos sexos,Total,Extranjera: Unión Europea,2011,"1.040,3"
Ambos sexos,Total,Extranjera: Unión Europea,2010,"1.067,1"
Ambos sexos,Total,Extranjera: Unión Europea,2009,"1.059,2"
Ambos sexos,Total,Extranjera: Unión Europea,2008,1.017
Ambos sexos,Total,Extranjera: Unión Europea,2007,"907,8"
Ambos sexos,Total,Extranjera: Unión Europea,2006,"321,5"
Ambos sexos,Total,Extranjera: Resto de Europa,2024,"280,7"
Ambos sexos,Total,Extranjera: Resto de Europa,2023,"279,1"
Ambos sexos,Total,Extranjera: Resto de Europa,2022,"227,3"
Ambos sexos,Total,Extranjera: Resto de Europa,2021,"222,3"
Ambos sexos,Total,Extranjera: Resto de Europa,2020,"243,3"
Ambos sexos,Total,Extranjera: Resto de Europa,2019,"182,5"
Ambos sexos,Total,Extranjera: Resto de Europa,2018,155
Ambos sexos,Total,Extranjera: Resto de Europa,2017,"140,9"
Ambos sexos,Total,Extranjera: Resto de Europa,2016,"123,7"
Ambos sexos,Total,Extranjera: Resto de Europa,2015,"165,5"
Ambos sexos,Total,Extranjera: Resto de Europa,2014,"126,1"
Ambos sexos,Total,Extranjera: Resto de Europa,2013,"129,9"
Ambos sexos,Total,Extranjera: Resto de Europa,2012,"150,2"
Ambos sexos,Total,Extranjera: Resto de Europa,2011,"159,8"
Ambos sexos,Total,Extranjera: Resto de Europa,2010,"140,1"
Ambos sexos,Total,Extranjera: Resto de Europa,2009,"119,4"
Ambos sexos,Total,Extranjera: Resto de Europa,2008,"132,3"
Ambos sexos,Total,Extranjera: Resto de Europa,2007,"121,8"
Ambos sexos,Total,Extranjera: Resto de Europa,2006,"558,8"
Ambos sexos,Total,Extranjera: América Latina,2024,"1.604,2"
Ambos sexos,Total,Extranjera: América Latina,2023,"1.454,6"
Ambos sexos,Total,Extranjera: América Latina,2022,"1.271,9"
Ambos sexos,Total,Extranjera: América Latina,2021,"1.182,9"
Ambos sexos,Total,Extranjera: América Latina,2020,"1.044,2"
Ambos sexos,Total,Extranjera: América Latina,2019,"914,3"
Ambos sexos,Total,Extranjera: América Latina,2018,"865,5"
Ambos sexos,Total,Extranjera: América Latina,2017,"830,4"
Ambos sexos,Total,Extranjera: América Latina,2016,"799,7"
Ambos sexos,Total,Extranjera: América Latina,2015,"792,8"
Ambos sexos,Total,Extranjera: América Latina,2014,"905,7"
Ambos sexos,Total,Extranjera: América Latina,2013,"1.087,1"
Ambos sexos,Total,Extranjera: América Latina,2012,1.285
Ambos sexos,Total,Extranjera: América Latina,2011,"1.442,5"
Ambos sexos,Total,Extranjera: América Latina,2010,"1.552,7"
Ambos sexos,Total,Extranjera: América Latina,2009,"1.627,8"
Ambos sexos,Total,Extranjera: América Latina,2008,"1.594,8"
Ambos sexos,Total,Extranjera: América Latina,2007,"1.477,3"
Ambos sexos,Total,Extranjera: América Latina,2006,"1.288,2"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2024,"940,1"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2023,"944,8"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2022,"897,4"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2021,"822,2"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2020,"775,2"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2019,"792,8"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2018,"758,8"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2017,"740,1"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2016,"770,7"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2015,"797,2"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2014,"739,1"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2013,"802,3"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2012,"798,8"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2011,"769,6"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2010,"737,9"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2009,"737,6"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2008,693
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2007,"595,7"
Ambos sexos,Total,Extranjera: Resto del mundo y apátrida,2006,"561,1"
Ambos sexos,De 16 a 24 años,Total,2024,"1.784,8"
Ambos sexos,De 16 a 24 años,Total,2023,"1.696,6"
Ambos sexos,De 16 a 24 años,Total,2022,"1.611,4"
Ambos sexos,De 16 a 24 años,Total,2021,"1.513,5"
Ambos sexos,De 16 a 24 años,Total,2020,"1.431,6"
Ambos sexos,De 16 a 24 años,Total,2019,"1.539,4"
Ambos sexos,De 16 a 24 años,Total,2018,"1.506,7"
Ambos sexos,De 16 a 24 años,Total,2017,"1.499,3"
Ambos sexos,De 16 a 24 años,Total,2016,"1.476,4"
Ambos sexos,De 16 a 24 años,Total,2015,"1.553,5"
Ambos sexos,De 16 a 24 años,Total,2014,"1.599,4"
Ambos sexos,De 16 a 24 años,Total,2013,"1.714,4"
Ambos sexos,De 16 a 24 años,Total,2012,"1.808,9"
Ambos sexos,De 16 a 24 años,Total,2011,"1.935,9"
Ambos sexos,De 16 a 24 años,Total,2010,"2.068,5"
Ambos sexos,De 16 a 24 años,Total,2009,"2.243,7"
