Tipo de Delito: Nivel 1,Tipo de Delito: Nivel 2,Tipo de Delito: Nivel 3,Tipo de Delito: Nivel 4,Nacionalidad,Periodo,Total
A Delitos,,,,Total,2023,403.194
A Delitos,,,,Total,2022,426.416
A Delitos,,,,Total,2021,410.842
A Delitos,,,,Total,2020,311.271
A Delitos,,,,Total,2019,412.571
A Delitos,,,,Total,2018,406.327
A Delitos,,,,Total,2017,394.301
A Delitos,,,,Total,2016,365.202
A Delitos,,,,Total,2015,288.756
A Delitos,,,,Total,2014,277.956
A Delitos,,,,Total,2013,275.196
A Delitos,,,,Española,2023,291.48
A Delitos,,,,Española,2022,316.356
A Delitos,,,,Española,2021,308.969
A Delitos,,,,Española,2020,232.479
A Delitos,,,,Española,2019,307.609
A Delitos,,,,Española,2018,307.924
A Delitos,,,,Española,2017,303.717
A Delitos,,,,Española,2016,280.75
A Delitos,,,,Española,2015,221.857
A Delitos,,,,Española,2014,213.157
A Delitos,,,,Española,2013,207.58
A Delitos,,,,País de la UE28 sin España,2023,
A Delitos,,,,País de la UE28 sin España,2022,
A Delitos,,,,País de la UE28 sin España,2021,
A Delitos,,,,País de la UE28 sin España,2020,
A Delitos,,,,País de la UE28 sin España,2019,33.027
A Delitos,,,,País de la UE28 sin España,2018,33.517
A Delitos,,,,País de la UE28 sin España,2017,30.47
A Delitos,,,,País de la UE28 sin España,2016,28.819
A Delitos,,,,País de la UE28 sin España,2015,21.936
A Delitos,,,,País de la UE28 sin España,2014,20.607
A Delitos,,,,País de la UE28 sin España,2013,20.889
A Delitos,,,,País de la UE27_2020 sin España,2023,23.584
A Delitos,,,,País de la UE27_2020 sin España,2022,25.187
A Delitos,,,,País de la UE27_2020 sin España,2021,24.61
A Delitos,,,,País de la UE27_2020 sin España,2020,20.332
A Delitos,,,,País de la UE27_2020 sin España,2019,
A Delitos,,,,País de la UE27_2020 sin España,2018,
A Delitos,,,,País de la UE27_2020 sin España,2017,
A Delitos,,,,País de la UE27_2020 sin España,2016,
A Delitos,,,,País de la UE27_2020 sin España,2015,
A Delitos,,,,País de la UE27_2020 sin España,2014,
