Nacionalidad;Periodo;Total
Española y doble nacionalidad;2024;10,25
Española y doble nacionalidad;2023;10,46
Española y doble nacionalidad;2022;10,96
Española y doble nacionalidad;2021;12,55
Española y doble nacionalidad;2020;15,23
Española y doble nacionalidad;2019;13,14
Española y doble nacionalidad;2018;13,48
Española y doble nacionalidad;2017;14,67
Española y doble nacionalidad;2016;16,13
Española y doble nacionalidad;2015;17,68
Extranjera UE-27;2024;12,74
Extranjera UE-27;2023;14,8
Extranjera UE-27;2022;17,21
Extranjera UE-27;2021;18,42
Extranjera UE-27;2020;22,48
Extranjera UE-27;2019;19,07
Extranjera UE-27;2018;22,74
Extranjera UE-27;2017;26,15
Extranjera UE-27;2016;27,09
Extranjera UE-27;2015;28,74
Extranjera, resto;2024;23,7
Extranjera, resto;2023;24,48
Extranjera, resto;2022;25,19
Extranjera, resto;2021;26,57
Extranjera, resto;2020;32,79
Extranjera, resto;2019;29,06
Extranjera, resto;2018;29,78
Extranjera, resto;2017;29,6
Extranjera, resto;2016;32,51
Extranjera, resto;2015;32,31
