Nacionalidad;periodo;Total
Total;2023*;12,2
Total;2022*;13,0
Total;2021*;14,9
Total;2020;15,5
Total;2019;14,1
Total;2018;15,3
Total;2017;17,2
Total;2016;19,6
Total;2015;22,1
Total;2014;24,4
Total;2013;26,1
Total;2012;24,8
Total;2011;21,4
Total;2010;19,9
Total;2009;17,9
Total;2008;11,3
Total;2007;8,2
Total;2006;8,5
Española;2023*;11,2
Española;2022*;12,0
Española;2021*;13,6
Española;2020;14,1
Española;2019;13,2
Española;2018;14,3
Española;2017;16,3
Española;2016;18,7
Española;2015;20,9
Española;2014;23,0
Española;2013;24,4
Española;2012;23,0
Española;2011;19,5
Española;2010;18,1
Española;2009;16,0
Española;2008;10,2
Española;2007;7,6
Española;2006;8,0
Extranjera (UE);2023*;14,4
Extranjera (UE);2022*;15,8
Extranjera (UE);2021*;18,9
Extranjera (UE);2020;20,0
Extranjera (UE);2019;15,3
Extranjera (UE);2018;17,6
Extranjera (UE);2017;19,7
Extranjera (UE);2016;22,5
Extranjera (UE);2015;25,0
Extranjera (UE);2014;29,6
Extranjera (UE);2013;30,3
Extranjera (UE);2012;30,3
Extranjera (UE);2011;28,6
Extranjera (UE);2010;26,7
Extranjera (UE);2009;24,2
Extranjera (UE);2008;16,0
Extranjera (UE);2007;11,2
Extranjera (UE);2006;9,4
Extranjera (resto del mundo);2023*;18,9
Extranjera (resto del mundo);2022*;20,9
Extranjera (resto del mundo);2021*;24,8
Extranjera (resto del mundo);2020;26,9
Extranjera (resto del mundo);2019;23,0
Extranjera (resto del mundo);2018;24,4
Extranjera (resto del mundo);2017;26,3
Extranjera (resto del mundo);2016;29,1
Extranjera (resto del mundo);2015;33,5
Extranjera (resto del mundo);2014;37,4
Extranjera (resto del mundo);2013;40,5
Extranjera (resto del mundo);2012;38,6
Extranjera (resto del mundo);2011;34,4
Extranjera (resto del mundo);2010;31,4
Extranjera (resto del mundo);2009;30,0
Extranjera (resto del mundo);2008;18,0
Extranjera (resto del mundo);2007;12,6
Extranjera (resto del mundo);2006;12,1
