País de Nacimiento,Español/Extranjero,Sexo,Año,Total
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2022,47.475.420
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2021,47.385.107
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2020,47.450.795
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2019,47.026.208
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2018,46.722.980
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2017,46.572.132
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2016,46.557.008
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2015,46.624.382
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2014,46.771.341
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2013,47.129.783
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2012,47.265.321
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2011,47.190.493
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2010,47.021.031
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2009,46.745.807
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2008,46.157.822
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2007,45.200.737
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2006,44.708.964
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2005,44.108.530
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2004,43.197.684
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2003,42.717.064
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2002,41.837.894
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2001,41.116.842
TOTAL POBLACIÓN,TOTAL,Ambos sexos,2000,40.499.791
TOTAL POBLACIÓN,TOTAL,Ambos sexos,1999,40.202.160
TOTAL POBLACIÓN,TOTAL,Ambos sexos,1998,39.852.651
TOTAL POBLACIÓN,TOTAL,Hombres,2022,23.265.381
TOTAL POBLACIÓN,TOTAL,Hombres,2021,23.222.953
TOTAL POBLACIÓN,TOTAL,Hombres,2020,23.255.590
TOTAL POBLACIÓN,TOTAL,Hombres,2019,23.042.428
TOTAL POBLACIÓN,TOTAL,Hombres,2018,22.896.602
TOTAL POBLACIÓN,TOTAL,Hombres,2017,22.832.861
TOTAL POBLACIÓN,TOTAL,Hombres,2016,22.843.610
TOTAL POBLACIÓN,TOTAL,Hombres,2015,22.890.383
TOTAL POBLACIÓN,TOTAL,Hombres,2014,22.985.676
TOTAL POBLACIÓN,TOTAL,Hombres,2013,23.196.386
TOTAL POBLACIÓN,TOTAL,Hombres,2012,23.298.356
TOTAL POBLACIÓN,TOTAL,Hombres,2011,23.283.187
TOTAL POBLACIÓN,TOTAL,Hombres,2010,23.226.185
TOTAL POBLACIÓN,TOTAL,Hombres,2009,23.116.988
TOTAL POBLACIÓN,TOTAL,Hombres,2008,22.847.737
TOTAL POBLACIÓN,TOTAL,Hombres,2007,22.339.962
TOTAL POBLACIÓN,TOTAL,Hombres,2006,22.100.466
TOTAL POBLACIÓN,TOTAL,Hombres,2005,21.780.869
TOTAL POBLACIÓN,TOTAL,Hombres,2004,21.285.247
TOTAL POBLACIÓN,TOTAL,Hombres,2003,21.034.326
TOTAL POBLACIÓN,TOTAL,Hombres,2002,20.564.089
TOTAL POBLACIÓN,TOTAL,Hombres,2001,20.165.514
TOTAL POBLACIÓN,TOTAL,Hombres,2000,19.821.384
TOTAL POBLACIÓN,TOTAL,Hombres,1999,19.670.642
TOTAL POBLACIÓN,TOTAL,Hombres,1998,19.488.465
TOTAL POBLACIÓN,TOTAL,Mujeres,2022,24.210.039
TOTAL POBLACIÓN,TOTAL,Mujeres,2021,24.162.154
TOTAL POBLACIÓN,TOTAL,Mujeres,2020,24.195.205
TOTAL POBLACIÓN,TOTAL,Mujeres,2019,23.983.780
TOTAL POBLACIÓN,TOTAL,Mujeres,2018,23.826.378
TOTAL POBLACIÓN,TOTAL,Mujeres,2017,23.739.271
TOTAL POBLACIÓN,TOTAL,Mujeres,2016,23.713.398
TOTAL POBLACIÓN,TOTAL,Mujeres,2015,23.733.999
TOTAL POBLACIÓN,TOTAL,Mujeres,2014,23.785.665
TOTAL POBLACIÓN,TOTAL,Mujeres,2013,23.933.397
TOTAL POBLACIÓN,TOTAL,Mujeres,2012,23.966.965
TOTAL POBLACIÓN,TOTAL,Mujeres,2011,23.907.306
TOTAL POBLACIÓN,TOTAL,Mujeres,2010,23.794.846
TOTAL POBLACIÓN,TOTAL,Mujeres,2009,23.628.819
TOTAL POBLACIÓN,TOTAL,Mujeres,2008,23.310.085
