Sexo,Comunidades y Ciudades Autónomas,Nacionalidad,Periodo,Total
Ambos sexos,Total Nacional,Total,2023T4,"52,05"
Ambos sexos,Total Nacional,Total,2023T3,"52,38"
Ambos sexos,Total Nacional,Total,2023T2,"52,13"
Ambos sexos,Total Nacional,Total,2023T1,"50,78"
Ambos sexos,Total Nacional,Total,2022T4,"50,99"
Ambos sexos,Total Nacional,Total,2022T3,"51,40"
Ambos sexos,Total Nacional,Total,2022T2,"51,38"
Ambos sexos,Total Nacional,Total,2022T1,"50,51"
Ambos sexos,Total Nacional,Total,2021T4,"50,83"
Ambos sexos,Total Nacional,Total,2021T3,"50,52"
Ambos sexos,Total Nacional,Total,2021T2,"49,63"
Ambos sexos,Total Nacional,Total,2021T1,"48,47"
Ambos sexos,Total Nacional,Española,2023T4,"51,26"
Ambos sexos,Total Nacional,Española,2023T3,"51,52"
Ambos sexos,Total Nacional,Española,2023T2,"51,45"
Ambos sexos,Total Nacional,Española,2023T1,"50,13"
Ambos sexos,Total Nacional,Española,2022T4,"50,28"
Ambos sexos,Total Nacional,Española,2022T3,"50,75"
Ambos sexos,Total Nacional,Española,2022T2,"50,70"
Ambos sexos,Total Nacional,Española,2022T1,"49,96"
Ambos sexos,Total Nacional,Española,2021T4,"50,33"
Ambos sexos,Total Nacional,Española,2021T3,"49,96"
Ambos sexos,Total Nacional,Española,2021T2,"49,12"
Ambos sexos,Total Nacional,Española,2021T1,"48,23"
Ambos sexos,Total Nacional,Extranjera: Total,2023T4,"57,40"
Ambos sexos,Total Nacional,Extranjera: Total,2023T3,"58,31"
Ambos sexos,Total Nacional,Extranjera: Total,2023T2,"56,95"
Ambos sexos,Total Nacional,Extranjera: Total,2023T1,"55,48"
Ambos sexos,Total Nacional,Extranjera: Total,2022T4,"56,18"
Ambos sexos,Total Nacional,Extranjera: Total,2022T3,"56,36"
Ambos sexos,Total Nacional,Extranjera: Total,2022T2,"56,69"
Ambos sexos,Total Nacional,Extranjera: Total,2022T1,"54,88"
Ambos sexos,Total Nacional,Extranjera: Total,2021T4,"54,82"
Ambos sexos,Total Nacional,Extranjera: Total,2021T3,"54,95"
Ambos sexos,Total Nacional,Extranjera: Total,2021T2,"53,69"
Ambos sexos,Total Nacional,Extranjera: Total,2021T1,"50,32"
Ambos sexos,Total Nacional,Extranjera: Unión Europea,2023T4,"61,13"
Ambos sexos,Total Nacional,Extranjera: Unión Europea,2023T3,"62,37"
Ambos sexos,Total Nacional,Extranjera: Unión Europea,2023T2,"61,58"
Ambos sexos,Total Nacional,Extranjera: Unión Europea,2023T1,"60,79"
Ambos sexos,Total Nacional,Extranjera: Unión Europea,2022T4,"60,81"
Ambos sexos,Total Nacional,Extranjera: Unión Europea,2022T3,"60,30"
Ambos sexos,Total Nacional,Extranjera: Unión Europea,2022T2,"59,37"
Ambos sexos,Total Nacional,Extranjera: Unión Europea,2022T1,"57,93"
Ambos sexos,Total Nacional,Extranjera: Unión Europea,2021T4,"57,20"
Ambos sexos,Total Nacional,Extranjera: Unión Europea,2021T3,"56,80"
Ambos sexos,Total Nacional,Extranjera: Unión Europea,2021T2,"56,35"
Ambos sexos,Total Nacional,Extranjera: Unión Europea,2021T1,"56,33"
Ambos sexos,Total Nacional,Extranjera: No pertenecientes a la Unión Europea,2023T4,"55,99"
Ambos sexos,Total Nacional,Extranjera: No pertenecientes a la Unión Europea,2023T3,"56,83"
Ambos sexos,Total Nacional,Extranjera: No pertenecientes a la Unión Europea,2023T2,"55,26"
Ambos sexos,Total Nacional,Extranjera: No pertenecientes a la Unión Europea,2023T1,"53,48"
Ambos sexos,Total Nacional,Extranjera: No pertenecientes a la Unión Europea,2022T4,"54,40"
Ambos sexos,Total Nacional,Extranjera: No pertenecientes a la Unión Europea,2022T3,"54,73"
Ambos sexos,Total Nacional,Extranjera: No pertenecientes a la Unión Europea,2022T2,"55,60"
Ambos sexos,Total Nacional,Extranjera: No pertenecientes a la Unión Europea,2022T1,"53,51"
Ambos sexos,Total Nacional,Extranjera: No pertenecientes a la Unión Europea,2021T4,"53,80"
Ambos sexos,Total Nacional,Extranjera: No pertenecientes a la Unión Europea,2021T3,"54,20"
Ambos sexos,Total Nacional,Extranjera: No pertenecientes a la Unión Europea,2021T2,"52,57"
Ambos sexos,Total Nacional,Extranjera: No pertenecientes a la Unión Europea,2021T1,"47,63"
Ambos sexos,01 Andalucía,Total,2023T4,"46,94"
Ambos sexos,01 Andalucía,Total,2023T3,"46,90"
Ambos sexos,01 Andalucía,Total,2023T2,"47,13"
Ambos sexos,01 Andalucía,Total,2023T1,"46,50"
Ambos sexos,01 Andalucía,Total,2022T4,"45,68"
Ambos sexos,01 Andalucía,Total,2022T3,"46,13"
Ambos sexos,01 Andalucía,Total,2022T2,"46,19"
Ambos sexos,01 Andalucía,Total,2022T1,"45,43"
Ambos sexos,01 Andalucía,Total,2021T4,"45,93"
Ambos sexos,01 Andalucía,Total,2021T3,"44,56"
Ambos sexos,01 Andalucía,Total,2021T2,"44,77"
Ambos sexos,01 Andalucía,Total,2021T1,"43,40"
Ambos sexos,01 Andalucía,Española,2023T4,"46,78"
Ambos sexos,01 Andalucía,Española,2023T3,"46,59"
Ambos sexos,01 Andalucía,Española,2023T2,"46,70"
Ambos sexos,01 Andalucía,Española,2023T1,"46,05"
Ambos sexos,01 Andalucía,Española,2022T4,"45,12"
Ambos sexos,01 Andalucía,Española,2022T3,"45,84"
Ambos sexos,01 Andalucía,Española,2022T2,"45,99"
Ambos sexos,01 Andalucía,Española,2022T1,"45,13"
Ambos sexos,01 Andalucía,Española,2021T4,"45,96"
Ambos sexos,01 Andalucía,Española,2021T3,"44,44"
Ambos sexos,01 Andalucía,Española,2021T2,"44,62"
